,Unnamed: 0,Unnamed: 0.1,K,weighted-entropy,TP,FP,TN,FN
92,92,92,93,0.006923653811528793,3916600,271,972509,9050
93,93,93,94,0.006778251643807495,3917412,354,972426,8238
94,94,94,95,0.006875320180145538,3917118,285,972495,8532
95,95,95,96,0.0065907814552064676,3917380,422,972358,8270
96,96,96,97,0.0067731119051826,3916732,319,972461,8918
97,97,97,98,0.006999518226632029,3916598,280,972500,9052
98,98,98,99,0.0066148321882875,3917450,422,972358,8200
99,99,99,100,0.0068976180716044215,3916873,535,972245,8777
100,100,100,101,0.00692008749051199,3916653,317,972463,8997
101,101,101,102,0.006664409932244447,3917470,458,972322,8180
102,102,102,103,0.006862372152124662,3916593,260,972520,9057
103,103,103,104,0.006557522224224618,3917469,404,972376,8181
104,104,104,105,0.007013410367792228,3916666,369,972411,8984
105,105,105,106,0.006568766100047121,3917432,454,972326,8218
106,106,106,107,0.006542132260024072,3917494,414,972366,8156
107,107,107,108,0.007019729678578732,3916640,370,972410,9010
108,108,108,109,0.006948328133939578,3916614,300,972480,9036
109,109,109,110,0.006874247928810734,3916691,346,972434,8959
110,110,110,111,0.006560019233744407,3917461,416,972364,8189
111,111,111,112,0.006750826879158452,3916579,319,972461,9071
112,112,112,113,0.0069448211155726716,3916648,430,972350,9002
113,113,113,114,0.006773710135820468,3916642,348,972432,9008
114,114,114,115,0.006818662783032093,3916659,344,972436,8991
115,115,115,116,0.006803710071213475,3916584,252,972528,9066
116,116,116,117,0.006456170365843139,3917479,374,972406,8171
117,117,117,118,0.0064775046175369905,3917455,447,972333,8195
118,118,118,119,0.006644231161630451,3916655,299,972481,8995
119,119,119,120,0.006505061169791214,3917415,361,972419,8235
